Column1,Scene,Listener,SII,Column2
Scene S06001 listener L0064 sii 0.5603,S06001,L0064,0.5603,06001
Scene S06001 listener L0008 sii 0.5557,S06001,L0008,0.5557,06001
Scene S06001 listener L0068 sii 0.5268,S06001,L0068,0.5268,06001
Scene S06002 listener L0044 sii 0.6506,S06002,L0044,0.6506,06002
Scene S06002 listener L0082 sii 0.6902,S06002,L0082,0.6902,06002
Scene S06002 listener L0078 sii 0.7205,S06002,L0078,0.7205,06002
Scene S06003 listener L0066 sii 0.7272,S06003,L0066,0.7272,06003
Scene S06003 listener L0051 sii 0.6078,S06003,L0051,0.6078,06003
Scene S06003 listener L0077 sii 0.6941,S06003,L0077,0.6941,06003
Scene S06004 listener L0059 sii 0.5288,S06004,L0059,0.5288,06004
Scene S06004 listener L0092 sii 0.5044,S06004,L0092,0.5044,06004
Scene S06004 listener L0036 sii 0.5433,S06004,L0036,0.5433,06004
Scene S06005 listener L0081 sii 0.52,S06005,L0081,0.52,06005
Scene S06005 listener L0023 sii 0.5301,S06005,L0023,0.5301,06005
Scene S06005 listener L0048 sii 0.6399,S06005,L0048,0.6399,06005
Scene S06006 listener L0023 sii 0.4268,S06006,L0023,0.4268,06006
Scene S06006 listener L0015 sii 0.4404,S06006,L0015,0.4404,06006
Scene S06006 listener L0097 sii 0.3914,S06006,L0097,0.3914,06006
Scene S06007 listener L0042 sii 0.6723,S06007,L0042,0.6723,06007
Scene S06007 listener L0085 sii 0.6155,S06007,L0085,0.6155,06007
Scene S06007 listener L0095 sii 0.6105,S06007,L0095,0.6105,06007
Scene S06008 listener L0024 sii 0.3691,S06008,L0024,0.3691,06008
Scene S06008 listener L0053 sii 0.3827,S06008,L0053,0.3827,06008
Scene S06008 listener L0015 sii 0.3717,S06008,L0015,0.3717,06008
Scene S06009 listener L0012 sii 0.6432,S06009,L0012,0.6432,06009
Scene S06009 listener L0056 sii 0.5995,S06009,L0056,0.5995,06009
Scene S06009 listener L0076 sii 0.6523,S06009,L0076,0.6523,06009
Scene S06010 listener L0089 sii 0.603,S06010,L0089,0.603,06010
Scene S06010 listener L0015 sii 0.6316,S06010,L0015,0.6316,06010
Scene S06010 listener L0059 sii 0.6395,S06010,L0059,0.6395,06010
Scene S06011 listener L0070 sii 0.609,S06011,L0070,0.609,06011
Scene S06011 listener L0054 sii 0.6019,S06011,L0054,0.6019,06011
Scene S06011 listener L0096 sii 0.5949,S06011,L0096,0.5949,06011
Scene S06012 listener L0099 sii 0.6678,S06012,L0099,0.6678,06012
Scene S06012 listener L0035 sii 0.656,S06012,L0035,0.656,06012
Scene S06012 listener L0088 sii 0.6583,S06012,L0088,0.6583,06012
Scene S06013 listener L0077 sii 0.4785,S06013,L0077,0.4785,06013
Scene S06013 listener L0071 sii 0.4813,S06013,L0071,0.4813,06013
Scene S06013 listener L0083 sii 0.5079,S06013,L0083,0.5079,06013
Scene S06014 listener L0044 sii 0.5727,S06014,L0044,0.5727,06014
Scene S06014 listener L0010 sii 0.577,S06014,L0010,0.577,06014
Scene S06014 listener L0088 sii 0.5982,S06014,L0088,0.5982,06014
Scene S06015 listener L0002 sii 0.4653,S06015,L0002,0.4653,06015
Scene S06015 listener L0014 sii 0.4086,S06015,L0014,0.4086,06015
Scene S06015 listener L0066 sii 0.5481,S06015,L0066,0.5481,06015
Scene S06016 listener L0098 sii 0.5881,S06016,L0098,0.5881,06016
Scene S06016 listener L0001 sii 0.5771,S06016,L0001,0.5771,06016
Scene S06016 listener L0096 sii 0.5337,S06016,L0096,0.5337,06016
Scene S06017 listener L0080 sii 0.6627,S06017,L0080,0.6627,06017
Scene S06017 listener L0056 sii 0.631,S06017,L0056,0.631,06017
Scene S06017 listener L0041 sii 0.6645,S06017,L0041,0.6645,06017
Scene S06018 listener L0055 sii 0.5952,S06018,L0055,0.5952,06018
Scene S06018 listener L0011 sii 0.5417,S06018,L0011,0.5417,06018
Scene S06018 listener L0032 sii 0.5819,S06018,L0032,0.5819,06018
Scene S06019 listener L0090 sii 0.6198,S06019,L0090,0.6198,06019
Scene S06019 listener L0038 sii 0.6234,S06019,L0038,0.6234,06019
Scene S06019 listener L0040 sii 0.6178,S06019,L0040,0.6178,06019
Scene S06020 listener L0024 sii 0.6387,S06020,L0024,0.6387,06020
Scene S06020 listener L0086 sii 0.5762,S06020,L0086,0.5762,06020
Scene S06020 listener L0072 sii 0.4697,S06020,L0072,0.4697,06020
Scene S06021 listener L0014 sii 0.5267,S06021,L0014,0.5267,06021
Scene S06021 listener L0013 sii 0.615,S06021,L0013,0.615,06021
Scene S06021 listener L0054 sii 0.605,S06021,L0054,0.605,06021
Scene S06022 listener L0082 sii 0.6228,S06022,L0082,0.6228,06022
